doc_id,D,name,sex,Points,CareerPoints
2,2,Eddie Jones,female,15428,15428
11,11,Charlie Ward,female,4371,4371
16,16,Bridget Pettis,female,1408,1408
17,17,LaToya Thomas,female,1390,1390
3,3,Corey Maggette,male,13198,13198
4,4,Kyrie Irving,male,8232,8232
5,5,Maurice Taylor,male,6361,6361
6,6,DeWanna Bonner,female,6184,6184
7,7,Robert Pack,male,5692,5692
8,8,Sheryl Swoopes,female,4875,4875
9,9,Nenad Krstic,male,4785,4785
10,10,Walter Berry,male,4492,4492
13,13,Shavonte Zellous,female,3103,3103
14,14,Bismack Biyombo,female,2176,2176
15,15,Latasha Byears,female,1935,1935
18,18,Henry James,male,1359,1359
19,19,Nicky Anosike,female,1244,1244
20,20,Von Wafer,female,1100,1100
21,21,Malcolm Brogdon,male,767,767
22,22,Nia Coffey,female,741,741
23,23,Jenna O'Hea,female,679,679
24,24,Elena Tornikidou,female,657,657
25,25,Jessica Moore,female,633,633
26,26,Kara Wolters,female,561,561
27,27,Kristin Haynie,female,555,555
28,28,Satou Sabally,female,549,549
29,29,Niele Ivey,female,408,408
30,30,Taurean Waller-Prince,female,335,335
31,31,Melvin Booker,male,288,288
32,32,Tausha Mills,female,267,267
33,33,Delon Wright,female,253,253
34,34,Maylana Martin,female,227,227
35,35,Chris Herren,female,224,224
36,36,Ashley Shields,female,161,161
37,37,Daniel Orton,male,143,143
38,38,Clinton Smith,male,134,134
39,39,Angie Potthoff,female,127,127
40,40,Jerry Greenspan,female,122,122
41,41,Fred VanVleet,male,107,107
42,42,Brooke Smith,female,102,102
43,43,Blake Ahearn,female,88,88
44,44,Kathrin Ress,female,85,85
45,45,Mikiah Herbert Harrigan,female,79,79
46,46,Bob Williams,male,70,70
47,47,Linnae Harper,female,48,48
48,48,Willie Williams,female,46,46
49,49,Carla Thomas,female,43,43
50,50,Gennifer Brandon,female,28,28
1,1,Paul Pierce,male,26397,26397
12,12,Al-Farouq Aminu,female,3766,3766
